tags_reduce,count
gaming,233
collectibles-nfts,74
defi,67
bnb-chain,54
polygon-ecosystem,23
vbc-ventures-portfolio,19
ai-big-data,16
okex-blockdream-ventures-portfolio,11
genpad,9
bullperks-launchpad,7
metaverse,7
dao-maker,6
mvb,4
"yield-farming,solana-ecosystem,ftx-bankruptcy-estate",4
"hardware,distributed-computing",4
"binance-launchpool,coinbase-ventures-portfolio,binance-labs-portfolio,electric-capital-portfolio,a16z-portfolio,layer-1",4
poolz-finance-portfolio,4
cybersecurity,4
binance-smart-chain,3
"enterprise-solutions,arrington-xrp-capital-portfolio,hashkey-capital-portfolio,web3,okex-blockdream-ventures-portfolio",3
"launchpad,bullperks-launchpad",3
"decentralized-exchange-dex-token,staking,lending-borowing,exnetwork-capital-portfolio,okex-blockdream-ventures-portfolio",3
"substrate,binance-labs-portfolio,polkastarter,dao-maker,arrington-xrp-capital-portfolio,okex-blockdream-ventures-portfolio",3
moonriver-ecosystem,3
"bounce-launchpad,arbitrum-ecosytem,mvb,okex-blockdream-ventures-portfolio,optimism-ecosystem",3
arbitrum-ecosytem,3
"animoca-brands-portfolio,skyvision-capital-portfolio,okex-blockdream-ventures-portfolio",3
"ethereum-ecosystem,substrate,polkadot-ecosystem,fantom-ecosystem,okex-blockdream-ventures-portfolio",3
duckstarter,3
"solana-ecosystem,cms-holdings-portfolio,alameda-research-portfolio,web3,ftx-bankruptcy-estate",3
"sports,fan-token,binance-launchpad,soccer",3
ferrum-network,3
kommunitas-launchpad,3
"duckstarter,poolz-finance-portfolio",3
move-to-earn,3
avalanche-ecosystem,3
solrazr-launchpad,3
sports,3
"bullperks-launchpad,kommunitas-launchpad",3
"cybersecurity,distributed-computing,duckstarter,poolz-finance-portfolio,hacken-foundation",2
"media,metaverse",2
"fan-token,binance-launchpad",2
"vbc-ventures-portfolio,kommunitas-launchpad",2
"polkadot-ecosystem,launchpad,duckstarter,polkafoundry-red-kite,icetea-labs,vbc-ventures-portfolio",2
"metaverse,bullperks-launchpad",2
doggone-doggerel,2
e-commerce,2
"solana-ecosystem,okex-blockdream-ventures-portfolio",2
"zero-knowledge-proofs,scaling,layer-2,rollups,okex-blockdream-ventures-portfolio,metisdao-ecosystem",2
skyvision-capital-portfolio,2
"animoca-brands-portfolio,move-to-earn",2
hospitality,2
"music,algorand-ecosystem,trustswap-launchpad,spartan-group,real-world-assets",2
"ethereum-ecosystem,substrate,polkadot,polkadot-ecosystem,real-world-assets",2
"cardano-ecosystem,cardano",2
binance-launchpad,2
"oracles,dao-maker",2
ethereum-ecosystem,2
spartan-group,2
"filesharing,ethereum-ecosystem,storage,polkastarter,web3",2
solana-ecosystem,2
"pos,platform,cosmos-ecosystem,scaling,smart-contracts,staking,dapp,ethereum-ecosystem,rollups,sidechain,binance-launchpad,binance-labs-portfolio,arbitrum-ecosytem,injective-ecosystem,optimism-ecosystem",1
"platform,enterprise-solutions,zero-knowledge-proofs,scaling,state-channel,ethereum-ecosystem,substrate,polkadot-ecosystem,binance-launchpad,arrington-xrp-capital-portfolio,pantera-capital-portfolio,arbitrum-ecosytem",1
"heco-ecosystem,injective-ecosystem",1
"cybersecurity,oracles,dao-maker,poolz-finance-portfolio,hacken-foundation",1
"solana-ecosystem,petrock-capital-portfolio,skyvision-capital-portfolio",1
exnetwork-capital-portfolio,1
"ethereum-ecosystem,superstarter,vbc-ventures-portfolio",1
"substrate,polkadot",1
insurance,1
superstarter,1
"amm,algorand-ecosystem,arbitrum-ecosytem",1
harmony-ecosystem,1
"yield-farming,mvb",1
"exnetwork-capital-portfolio,mvb,spartan-group,okex-blockdream-ventures-portfolio",1
memes,1
"sports,fan-token,binance-launchpool,soccer",1
"distributed-computing,filesharing,storage,superstarter",1
services,1
"dao,substrate,duckstarter,bounce-launchpad,okex-blockdream-ventures-portfolio",1
"cosmos-ecosystem,binance-launchpool,arrington-xrp-capital-portfolio,terra-ecosystem,injective-ecosystem",1
"launchpad,exnetwork-capital-portfolio",1
"wallet,binance-launchpad,injective-ecosystem",1
"rebase,duckstarter",1
"centralized-exchange,binance-launchpad",1
"privacy,bulletproofs,zero-knowledge-proofs,staking",1
"centralized-exchange,algorand-ecosystem,binance-launchpad,injective-ecosystem",1
"prediction-markets,duckstarter",1
"oracles,tron-ecosystem,binance-launchpad,binance-labs-portfolio",1
"launchpad,analytics",1
"oracles,smart-contracts,solana-ecosystem",1
"launchpad,poolz-finance-portfolio",1
"duckstarter,ferrum-network",1
polkadot-ecosystem,1
"cosmos-ecosystem,kenetic-capital-portfolio,injective-ecosystem",1
"binance-launchpad,binance-labs-portfolio,electric-capital-portfolio,exnetwork-capital-portfolio,elrond-ecosystem,injective-ecosystem,layer-1",1
"decentralized-exchange-dex-token,dex,polkadot-ecosystem,polkastarter,okex-blockdream-ventures-portfolio",1
"platform,enterprise-solutions,scaling,smart-contracts,binance-launchpad,binance-labs-portfolio,hashkey-capital-portfolio,harmony-ecosystem,injective-ecosystem",1
"smart-contracts,dapp,okex-blockdream-ventures-portfolio",1
"oracles,smart-contracts,substrate,polkadot-ecosystem,duckstarter",1
bounce-launchpad,1
"avalanche-ecosystem,trustswap-launchpad",1
"coinbase-ventures-portfolio,spartan-group,okex-blockdream-ventures-portfolio,real-world-assets",1
derivatives,1
"asset-management,polkastarter,exnetwork-capital-portfolio,okex-blockdream-ventures-portfolio",1
"decentralized-exchange-dex-token,prediction-markets,dex,polkadot-ecosystem,polkafoundry-red-kite,icetea-labs",1
"polkadot-ecosystem,binance-launchpool",1
launchpad,1
"solana-ecosystem,vbc-ventures-portfolio,solrazr-launchpad",1
"fan-token,binance-launchpool",1
fantom-ecosystem,1
elrond-ecosystem,1
"ethereum-ecosystem,okex-blockdream-ventures-portfolio",1
wallet,1
"education,ethereum-ecosystem,cross-chain",1
"launchpad,celo-ecosystem",1
"staking,yield-farming,launchpad,launchzone",1
"play-to-earn,bullperks-launchpad,okex-blockdream-ventures-portfolio",1
"platform,enterprise-solutions,alameda-research-portfolio,okex-blockdream-ventures-portfolio",1
"privacy,dao-maker,cross-chain",1
privacy,1
play-to-earn,1
"gambling,arbitrum-ecosytem",1
"crowdfunding,staking,launchpad,fantom-ecosystem,bullperks-launchpad",1
"solana-ecosystem,cross-chain",1
"dao,ethereum-ecosystem,governance,finance-banking,polkastarter",1
"entertainment,dao,governance,metaverse",1
"substrate,polkadot,okex-blockdream-ventures-portfolio",1
cardano-ecosystem,1
binance-chain,1
"telegram-bot,discord-bots",1
"entertainment,music,social-token,chromia-ecosystem",1
"education,binance-launchpad",1
"education,binance-launchpad,animoca-brands-portfolio",1
"communications-social-media,binance-launchpool,binance-labs-portfolio,multicoin-capital-portfolio,animoca-brands-portfolio,spartan-group",1
"binance-launchpool,pantera-capital-portfolio,spartan-group,circle-ventures-portfolio,jump-crypto,gemini-frontier-fund,shima-capital",1
"marketplace,governance,binance-launchpad,analytics",1
"sports,fan-token,binance-launchpad",1
"staking,governance,avalanche-ecosystem,finance-banking,lending-borowing,cardano-ecosystem",1
"dao-maker,web3",1
"smart-contracts,substrate,polkadot,polkadot-ecosystem,binance-labs-portfolio,arrington-xrp-capital-portfolio,injective-ecosystem",1
storage,1
"petrock-capital-portfolio,okex-blockdream-ventures-portfolio",1
polkafoundry-red-kite,1
"petrock-capital-portfolio,spartan-group",1
"derivatives,prediction-markets",1
polkastarter,1
"wallet,binance-launchpad,solana-ecosystem,celo-ecosystem,spartan-group,injective-ecosystem",1
"launchpad,metaverse,exnetwork-capital-portfolio",1
"binance-labs-portfolio,animoca-brands-portfolio,skyvision-capital-portfolio",1
"dao,governance,dragonfly-capital-portfolio,fenbushi-capital-portfolio,pantera-capital-portfolio,spartan-group",1
"masternodes,play-to-earn,web3",1
"ethereum-ecosystem,arbitrum-ecosytem,liquid-staking-derivatives",1
zilliqa-ecosystem,1
"coinbase-ventures-portfolio,web3",1
"gaming-guild,okex-blockdream-ventures-portfolio",1
"animoca-brands-portfolio,okex-blockdream-ventures-portfolio",1
"metaverse,polkafoundry-red-kite,bullperks-launchpad,animoca-brands-portfolio,oxbull",1
"binance-launchpad,defiance-capital-portfolio,multicoin-capital-portfolio,parafi-capital,spartan-group",1
